Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1771948560,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1771948561,5,,Aggregated,0.000000,0.000000,68,290,290,740,740,740,740,740,740,740,740,5,0,68,245.46995379496366,64.95418300619349,736.1194079858251,1557954.0
1771948562,10,,Aggregated,0.000000,0.000000,150,150,290,290,740,740,740,740,740,740,740,7,0,150.0,218.71859428106941,64.95418300619349,736.1194079858251,1132601.7142857143
1771948563,15,,Aggregated,0.000000,0.000000,150,170,330,740,1300,1500,1500,1500,1500,1500,1500,15,0,150.0,337.7727945956091,34.78272905340418,1497.5986059871502,1998654.8
1771948564,20,,Aggregated,5.000000,0.000000,150,170,210,290,740,1300,1500,1500,1500,1500,1500,22,0,87,268.9667906326411,34.78272905340418,1497.5986059871502,1379217.2272727273
1771948565,25,,Aggregated,5.000000,0.000000,87,160,210,290,910,1300,1500,1500,1500,1500,1500,27,0,87,265.5871415907448,34.78272905340418,1497.5986059871502,1389722.7777777778
1771948566,30,,Aggregated,5.000000,0.000000,150,170,380,430,910,1500,2000,2000,2000,2000,2000,36,0,150.0,317.8144735251812,34.78272905340418,2026.6124019981362,1577335.361111111
1771948567,35,,Aggregated,5.200000,0.000000,150,290,450,460,1000,1400,2000,2000,2000,2000,2000,43,0,150.0,353.4640031839656,34.78272905340418,2026.6124019981362,1848828.0930232557
1771948568,40,,Aggregated,6.000000,0.000000,170,290,460,580,1400,2000,2900,3600,3600,3600,3600,56,0,160.0,468.5153885158278,34.78272905340418,3614.23929000739,2084029.8214285714
1771948569,45,,Aggregated,6.000000,0.000000,210,450,580,740,1500,1900,2900,3600,3600,3600,3600,67,0,210.0,511.9739672361957,34.78272905340418,3614.23929000739,2239027.8358208956
1771948570,50,,Aggregated,6.000000,0.000000,180,450,580,740,1500,1900,2900,3600,3600,3600,3600,79,0,180.0,501.3455035683664,34.78272905340418,3614.23929000739,2133743.164556962
1771948571,50,,Aggregated,7.444444,0.000000,250,480,620,910,1500,2000,3600,4400,4400,4400,4400,85,0,250.0,579.5096694464412,34.78272905340418,4430.085318977945,2433077.8470588233
1771948572,50,,Aggregated,7.444444,0.000000,260,480,700,910,1800,2900,4200,4400,4400,4400,4400,96,0,260.0,608.9830629480275,34.78272905340418,4430.085318977945,2342180.59375
1771948573,50,,Aggregated,7.800000,0.000000,260,510,670,910,1800,2900,3600,4200,4400,4400,4400,107,0,260.0,615.0281488314428,34.78272905340418,4430.085318977945,2203198.0
1771948574,50,,Aggregated,7.800000,0.000000,260,480,670,910,1800,2900,4200,4400,7500,7500,7500,125,0,260.0,650.769622199703,34.78272905340418,7484.02537999209,2093453.64
1771948575,50,,Aggregated,8.900000,0.000000,260,520,700,1000,1900,3600,4400,4400,7500,7500,7500,131,0,260.0,726.402796350352,34.78272905340418,7484.02537999209,2279776.2748091603
1771948576,50,,Aggregated,10.300000,0.000000,260,510,700,1000,1900,3800,4400,7500,7600,7600,7600,139,0,260.0,759.5145768199532,34.78272905340418,7636.824766988866,2307112.2589928056
1771948577,50,,Aggregated,10.300000,0.000000,260,510,700,1000,1900,4200,7500,11000,12000,12000,12000,151,0,260.0,871.5778443841294,34.78272905340418,12220.414504990913,3073410.7086092713
1771948578,50,,Aggregated,10.100000,0.000000,260,510,710,1000,2500,4200,7500,11000,12000,12000,12000,163,0,260.0,899.7928629450049,34.78272905340418,12220.414504990913,3118771.024539877
1771948579,50,,Aggregated,10.100000,0.000000,260,510,710,1000,2700,4300,7600,11000,12000,12000,12000,167,0,260.0,936.72807646175,34.78272905340418,12220.414504990913,3130142.251497006
1771948580,50,,Aggregated,10.900000,0.000000,260,520,730,1100,2900,5200,9300,12000,12000,12000,12000,176,0,260.0,1027.670370023605,34.78272905340418,12220.414504990913,3216559.664772727
1771948581,50,,Aggregated,10.000000,0.000000,250,510,710,1100,2900,4400,9300,12000,12000,12000,12000,188,0,250.0,993.4461444109787,34.78272905340418,12220.414504990913,3129795.936170213
